C_Name,P_Name,P_id,Sal,Sal1,Sal2,Sal_Avg,Work_Year,Description
省广集团,数据分析师,3508677,20k-35k,20,35,27.5,5-10年,"前景广阔,老板好,福利优厚,部门氛围佳岗位职责：1、结合部门业务，制定数据标准，包括收集标准、数据指标、数据应用规范标准等；2、负责产品数据体系的建立，对数据挖掘需求的沟通、收集、整理、理解和实现；3、分析评估产品及业务需求，构建数据分析框架，研究设计相应数据挖掘方案及算法，分析数据，设计方案，构建原型，快速实现对于数据分析、挖掘的需求；4、与技术人员配合，将相关分析方法进行技术实现；5、与公司其部门和其他岗位进行良好沟通，为相关项目提供数据化运营支持，实现业务增效；6、将数据分析挖掘结果应用到业务场景中，并编写数据分析报告及其他工作文档；7、内外部大数据资源合作与管理。任职要求：1、对数据挖掘、机器学习有一定研究，熟悉决策树、逻辑回归、SVM、神经网络等算法；2、对数据敏感，逻辑思维能力强，熟悉统计学基本原理和数据挖掘常用算法；3、熟练使用Python、R中的至少一种进行数据处理与分析建模；4、熟悉Hadoop、Hive、spark等分布式计算平台使用；5、深刻理解广告投放相关知识，能结合广告业务进行运营分析。5、具备较强的撰写报告和组织项目的能力，具备较强的营销市场洞察力；6、5年以上数据分析或广告营销相关工作经验，2年以上数据团队管理经验；有汽车行业相关知识更佳；7、数学、统计学,计算机软件相关专业，硕士优先。省广集团-大平台：l  我国最具规模的整合营销传播集团，中国广告业的扛旗者。l  中国服务业500强公司。l  上市集团。大数据中心-核心部门：l  集团“大数据，全营销”战略的牵头及驱动部门；l  负责集团旗下公司数据整合及数据产品搭建、运营推广；l  负责大数据联盟搭建与运营，为内外部客户提供专业、全面的大数据技术支持和营销服务指导。待遇：l  薪酬待遇：薪酬优厚，入职即买五险一金，工资+奖金+交通补贴+通讯补贴+餐补；l  福利完善：弹性工作、国外旅游、下午茶、零食、各类团建；l  员工提升：提供各类培训，有完整的员工晋升机制；l  互联网氛围：扁平化管理，同事领导均为大牛，并且非常nice；l  办公环境：办公环境优越，咖啡厅、健身房、电影院；"
尚德机构,数据分析,3431501,4k-7k,4,7,5.5,不限,"五险一金,免费学习,晋升,员工旅游岗位职责： 1.负责对业务数据的整理、统计及分析，为业务提供运营数据支持； 2.业绩相关数据的监控，促进目标达成； 3.绩效核算； 4.支持或配合其他的数据统计相关工作； 5.协助上级领导完成临时性的数据处理工作。 任职要求： 1.本科学历，数学相关专业优先； 2.熟悉运用10种以上EXCEL函数，透视表等操作； 3.逻辑思维清晰，学习能力强； 4.善于沟通协调，表达能力强，抗压能力强，有团队合作精神。 尚德文化： 1、尚德的使命：让学习随手可得，让梦想触手可及 2、尚德的理念：学习是一种信仰 3、尚德的价值观：进取、坚韧、开放、影响 "
广州原象,数据分析经理,4423594,15k-25k,15,25,20.0,5-10年,"扁平管理,五险一金,福利优厚工作职责：1. 负责部门的所有管理、规划及发展工作；2. 为公司的挑战性和全新项目提供数据分析解决方案；3. 身兼数据产品经理和项目经理推进公司内部数据产品的研发；4. 整合各种资源最大限度实现数据变现。任职资格：1. 本科或以上学历，理工科专业；2. 3年以上互联网/电商或广告行业数据分析经验，如有产品经理或项目经理经验为更佳；3. 2年以上10人+团队管理经验；4. 具有很强的逻辑推理、分析、文字及口头表达、沟通能力；5. 具有很强的突破及创新精神。"
广东亿迅,数据分析及建模工程师,4498139,13k-25k,13,25,19.0,不限,"发展空间大,工作氛围好,团队大牛多1.负责电信大数据分析，提出数据应用思路；2.根据具体数据应用需求，设计处理方案并建模；3.参与数据应用模型开发。1.本科及以上学历，数学基础或统计学专业；2.熟悉互联网信息挖掘及文本分析技术，掌握常用机器学习算法；3.精通SQL，熟练掌握数据分析语言python或R；4.熟悉大数据系统架构及大数据处理相关技术；5.具有大数据分析及建模工作经验；6.具有团队协作精神，良好的沟通表达能力。"
广州智干电子商务科技有限公司,数据开发工程师/数据分析,4148249,10k-20k,10,20,15.0,3-5年,"五险一金,带薪假期,员工旅游,员工体检由于岗位称谓每个公司不尽相同，所以发布职位时同一职位我们会以不同标题发布多条。请仔细阅读职位说明且认真投递简历，勿重复投递（重复投递不会增加面试几率）。【岗位职责】1、负责进行公司运营指标体系的建立、日常管理、分析与展现；2、负责对电商平台相关销售、市场推广、客户行为等业务数据进行有效地分析与挖掘；3、监控竞争对手、行业态势进行研究分析，分析竞品的运营数据；4、对分析结果撰写分析报告，为公司运营活动优化提供数据支持，为领导层提供决策依据；5、分析过程中对所需要的数据支撑形成需求转化，提升公司的数据储备能力；6、能够对关键问题深入分析，并对核心分析思路进行产品化。【我们对您期望】1、数学、统计学本科及以上学历，硕士学历优先考虑；2、有一定的创新能力，在以往的数据分析、挖掘等工作中有自己独特的见解；3、熟悉决策树、时间序列模型、回归分析模型、聚类挖掘、贝叶斯、关联规则挖掘等数据统计模型和挖掘技术，并有独立完整的建模实践经验；4、具有较强数据洞察能力和沟通协调能力，拥有强烈的责任心和团队合作精神；5、具有探索精神，从数据中发现价值用以支持决策。【优先条件】1、拥有电商行业背景、或财务、品类管理背景优先。"
广东智源,数据分析师,3010230,8k-15k,8,15,11.5,1-3年,"五险一金,绩效奖金,月度活动,年度旅游岗位职责：1、参与数据分析相关项目设计、开发工作；2、根据项目需要进行需求规划、产品设计功能；3、编制软件技术文档。任职资格：1、计算机、数学或相关专业本科或以上学历；2、掌握分析的理论知识与数据分析方法，并能灵活运用到实践工作中。3、具有较强的文档撰写能力；4、具有良好的职业道德和工作态度，良好的团队合作和协调能力；5、具备数据处理编程基础，懂Oracle数据库、R语言、Python语言、大数据处理技术等优先；6、熟练使用BI相关工具软件优先。"
广州丰申网络科技有限公司,数据分析师,3487901,6k-9k,6,9,7.5,1-3年,"大牛带你飞,发展空间大,周末双休,团队氛围好岗位职责：1、负责业务数据和项目相关需求的收集、整理和维护，建立数据模型；2、准时完成日常报表，总结业务规则，监控异常变动，对业务管理及优化提供数据支持；任职资格：1、计算机、信息工程、数学、统计、经济金融或相关专业本科以上学历；2、具有较好的统计分析能力，有相应数据意识；3、熟悉Excel报表，对数据运营工作有热情，学习能力强；4、较强的团队协作意识，具备分析思维，有一定抗压能力和自我驱动能力。想了解我们更多，快来关注我们！公司微信订阅号“GZFSNET"" 最热最全丰申爆料 ，等你来哟。详情请戳公司官网：http://www.gzfsnet.com/ 公司薪酬福利待遇：1、周末双休，珠江新城CBD办公环境，坐看小蛮腰；2、绩效年终奖，一年两次调薪，每年晋升机会；3、六险一金、节日福利、公司周年旅游+部门团建腐败游、定期体检、电脑补贴、结婚生育礼金、生日会、高级健身房会员；4、享受国家法定假期+转正后即享受公司带薪休假7天。5、互联网公司，大牛带你飞。全是80、90后，年轻活跃氛围，吃货杂堆。公司稳定快速发展。"
广州原象,数据分析经理,3867933,18k-25k,18,25,21.5,5-10年,"互联网基因,帅哥美女多,办公环境好,发展空间大工作职责：1. 负责部门的所有管理、规划及发展工作2. 为公司的挑战性和全新项目提供数据分析解决方案3. 身兼数据产品经理和项目经理推进公司内部数据产品的研发4. 整合各种资源最大限度实现数据变现任职资格：1. 本科或以上学历，理工科专业2. 3年以上互联网/电商或广告行业数据分析经验，如有产品经理或项目经理经验为更佳3. 2年以上10人+团队管理经验4. 具有很强的逻辑推理、分析、文字及口头表达、沟通能力5. 具有很强的突破及创新精神"
合众财富,数据分析,4160918,10k-20k,10,20,15.0,3-5年,"周末双休,五险一金,交通便利,发展明朗岗位职责:1、核心指标的监控和跟踪分析，并对异常波动情况进行深入分析和问题定位；2、提供公司各业务线的定期分析报告；3、特定问题的深入分析；4、市场、品牌投放效果统计与分析；5、搜集行业数据，并给市场、品牌投放提供支持；6、撰写和汇总分析报告。职位要求：1、本科以上学历，数学、统计、计算机等相关专业优先；2、4年以上商业分析经验, 熟悉至少一种数据挖掘工具, 如R,SAS, SPSS等；3、精通Excel，熟悉Mysql、Oracle、SQL Server等数据库（至少一种数据库）；4、良好的沟通能力和学习业务能力, 敏锐的洞察力；5、有数据管理和决策意识，逻辑思维缜密，具备优秀的分析能力；6、有优秀的业务沟通能力；7、熟悉熟知数据库相关知识，熟悉数据采集与分析方法；具备数据深层次挖掘的能力，善于发现数据的变化规律；8、做事细心，具有很强的责任心，独立解决问题的能力；9、对数据分析有强烈兴趣，有良好的学习能力和强烈的进取心；10、有互联网或互联网金融平台市场投放效果分析经验者优先考虑。"
富力地产,数据分析,1396191,10k-20k,10,20,15.0,3-5年,优惠购房，亲属福利，员工饭堂，免费早午餐岗位职责：1、收集、整理、统计和分析产品运营数据，并定期输出数据分析报告；2、监控、分析用户情况和流量数据，为用户推广或产品运营提供支撑和建议；3、收集、监测及分析竞争对手在用户推广和产品运营方面的策略和情况。 任职要求：1、经济管理、统计学或数学本科及以上学历；2、熟练使用excel、PPT等办公软件和SPSS、SAS等数据分析软件；3、三年以上互联网行业数据分析相关工作经历；4、对于网站分析监测工具有了解，如GA；5、良好的数据敏感度，能够独立进行产品运营相关专题分析、报告撰写、汇报等工作；6、强烈的工作责任心、严谨的工作态度及良好的学习、沟通、逻辑分析能力，有独立开展研究项目经验。
