C_Name,P_Name,P_id,Sal,Sal1,Sal2,Sal_Avg,Work_Year,Description
东信北邮,数据分析经理,4067360,6k-10k,6,10,8.0,1-3年,"五险一金,福利多多,假期多多,弹性工作制 岗位职责1、负责和多号项目的信息收集、整理、以及分析，为业务的各项工作展开提供数据依据；2、日常业务发展数据监控，实时反馈营销、产品等运营工作中的异常情况；3、全国及各分省数据报表、营销活动分析报告等提供；4、结合业务和数据分析产品运营情况，探究业务亮点或问题，   进行数据分析并提出优化方案或提炼可复制案例并运用推动下去基本条件1、本科及以上学历,计算机、通信、软件、数学、统计学等相关专业；2、具有良好的沟通、协调能力，执行能力，能承担工作压力；3．做事主动，善于发现，并有解决问题的能力；4、有较好的学习能力、承任感强，思维敏捷；5、有运营商相关工作经验优先考虑；岗位技能1、熟练掌握excel、word、ppt等相关文档处理工具；2、掌握SQL、linux、PYTHON等一种或多种常用数据分析工具 ；"
阿里文娱,UC事业群国际-数据分析专家,4203491,15k-30k,15,30,22.5,5-10年,"团队优秀,平台宽广岗位职责:1. 构建全面的、准确的、能反映服务业务线特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题，定期输出数据挖掘专题项目；2. 通过专题分析，对业务问题进行深入分析，为运营决策、推广策略、产品方向提供数据支持 ；3. 结合渠道信息和用户信息，搭建渠道、用户画像系统，帮助用户产品和推广平台提升运营效率；4. 与相关团队协作进行国际U盟的数据建模和数据化推广平台搭建工作，推动业务部门的数据化运营，帮助推广精细化，实现内外部渠道投放效率的优化。任职要求:1.3年以上互联网数据分析相关经验，有算法经验优先；2.国内外知名大学本科以上；信息、管理科学、统计、应用数学类相关专业；3.有独立完成多个专题分析的经验；4.能熟练运用SQL（熟练使用Python等更佳），独立且高效地完成数据的提取及分析；5.有丰富的数据清洗、分析、挖掘的经验，熟悉常用的数据挖掘方法论；6.良好的数据敏感度，能从海量数据提炼核心结果，并用简洁而清晰的方式呈现数据分析背后的商业逻辑和相关洞察；有出色的结构化思维能力；7.有良好的跨团队、部门沟通及资源整合能力，能够独立开展研究项目；8.较强的抗压能力，能在迅速变化的商业环境和动态的业务需求中，抓住重点并交出有质量的产出。"
健客网,数据分析员,4138327,5k-7k,5,7,6.0,1年以下,"大咖团队,朝阳行业,工作环境优,发展平台大岗位职责：1、负责关注公司官网平台价格定位，监控平台数据；2、收集、整理相关数据，进行价格分析，效果跟踪与反馈；3、负责了解公司产品在市场上的主流竞争对手的定价情况，及时提出价格调整的建议；4、负责平台数据的维护和把控，根据内部采购价格进行调整。 任职要求：1、本科及以上学历，统计类、计算机类专业优先；2、熟悉excel表格的操作、有一定的数据分析软件操作能力；3、有较强的学习能力、主观能动性及责任心。"
设计院,大数据咨询及数据分析,4225119,5k-10k,5,10,7.5,不限,"年底双薪,绩效奖励,高温补贴,餐补工作职责1. 负责大数据项目客户需求调研和咨询分析；2. 负责大数据项目的总体架构、应用架构、数据架构、技术框架等咨询设计类工作，撰写咨询报告和大数据规划方案；3. 参与咨询项目中大数据分析、数据挖掘和数据建模；岗位要求：1. 数学、统计、管理学、计算机背景优先，熟练使用1-2种统计分析软件（SPSS/R/SAS/Python，最好是R或者python）；2. 熟练使用excel和PPT，至少了解一门数据库语言，能熟练掌握SQL语言；3. 热爱咨询行业，掌握一定的咨询方法和需求调研技巧；工作积极主动、善于沟通、表达能力强，具有较强的逻辑分析和文字表达能力。4. 有咨询项目经验和数据分析经验者优先，接受应届生。"
优脉诚邀你的加入，开启圆梦之旅,数据分析师,4493206,6k-8k,6,8,7.0,1-3年,"五险一金齐,跨境电商,8090后,带薪年假【岗位职责】1、对接供应链各部门、和大数据部门，参与供应链各项目前期数据调研和项目结束后的数据验证工作，与业务部门沟通数据需求，撰写需求文档并提交大数据部门跟进开发进度，推动供应链数据产品优化；2、根据供应链各部门业务特点和需求，提供必要的数据支持，达成供应链整体成本、质量、时效最优的目标；3、供应链日常运营数据监控，及时发现采购和供应商管理过程中的异常，反馈到对应部门，跟进处理结果并定期回顾问题解决的效果；4、进行专项数据分析，发现运营改善点和潜在的商业机会，输出建议，为业务部门调整运营策略提供决策依据。【岗位要求】1、全日制本科及以上学历，统计学、数学、电子商务相关专业优先；2、2年以上数据分析相关工作经验，熟悉电商运营体系，具有电商从业经验优先；3、熟练掌握SQLServer、Oracle、MySQL等主流数据库；4、熟悉数据挖掘算法，数据分析挖掘工具（SPSS、SAS）经验优先。您和以下福利只有一封简历的距离：1、薪资待遇：底薪+提成（上不封顶）+年终奖+其他奖励，业绩突出者面议！2、福利保障：购买养老保险、医疗保险、重大疾病保险、失业保险、工伤保险和生育保险+住房公积金。3、作息时间：每天工作7.5小时，单双休制。4、自我增值：完善的培训体系，从专业到管理，实现自我全面增值。5、职业发展：我们有完善的职业发展通道，可以助您在职场更高的成就和发展！6、活动：节庆活动、部门团建、拓展、融洽的工作氛围中，实现自我价值！地址：广州市白云区黄石街道江夏大塘大街COCO大院文化产业园U型楼402交通方式：地铁站： 二号线 江夏B出口 （步行15分钟，可乘坐便民车到汉瑜社区医疗， 即可到达园区门口）公车站：祥景花园站/安华灯饰城站（下车往“7天酒店”方向，进入“江夏牌坊”直走200到 汉瑜社区医疗路口，左转身便看到COCO大院）"
广州原象,高级数据分析师,4109435,10k-15k,10,15,12.5,1-3年,"帅哥美女多,公司氛围好,老板好,发展空间大工作职责：1. 获取需求：与客户和店铺运营方沟通，了解业务需求；2. 店铺运营：根据天猫以及B2C后台提供的数据，监测并分析店铺各数据指标，及时发现问题并提出改进建议。诸如流量分析、转化率、流失率分析、访问路径等等；3. 页面分析：对页面设计进行评估，为设计提供改进建议，提升用户体验；4. 推广分析：对直通车和钻展等推广方式进行分析，获取更大的投入产出；5. 营销分析：对营销活动进行评估，适时调整营销策略；6. 销售分析：分析产品销售数据，提升全店销售额；7. 用户分析：分析访客属性及行为特征，为不同类型的用户提供相应的运营建议，增强用户黏性；8. 定期输出：定期输出日报、周报、月报、季度报告、年度报告等。任职资格：1. 本科及以上学历，计算机、数学、统计或信息技术等专业；2. 有一年以上电商相关工作经验；3. 熟练使用EXCEL、SPSS、SAS等一款或多款统计分析软件，对VBA和SQL有一定的了解；4. 具备突出的逻辑思维能力、学习能力以及商业思维，且能承受较大的工作压力；5. 对店铺运营有较全面了解，熟悉店铺运营优化、熟悉以用户为中心的设计，了解用户行为分析的方法；"
广州六合信息科技股份有限公司,数据分析师,4390793,5k-8k,5,8,6.5,1-3年,"周末双休,五险一金,节日津贴,年终奖励工作职责：1、负责项目的日常数据监控，包括每日、每周、每月、季度的渠道监控分析、重点业务分析；2、负责核心业务运营数据工作，优化数据分析工作流程，建立并维护行之有效的工作方法；3、负责日常数据支撑工作，包括常态化数据需求、临时数据需求，负责数据抽取、数据清洗、数据输出等工作；4、协助高级数据分析师完成数据分析报告、建模报告、数据报表项目相关文档工作；任职要求：1.本科及以上学历，计算机、统计、数学、经济、营销等相关专业，具备1年以上工作经验为佳；2.具备利用数据分析解决业务问题能力；3.了解互联网的大规模数据处理方式与方法；4.熟悉SQL Server、MySQL server、spss，熟悉数据管理工作；5.熟悉python脚本者优先；6.有较强逻辑思考能力、问题分析能力和数据敏感力，思维缜密；7.工作热情，富有创新精神，乐于接受挑战，能承受工作压力。"
尚德机构,高级数据分析师,4470408,10k-15k,10,15,12.5,3-5年,"上市公司,在线教育,朝阳行业,周末双休岗位职责：1、负责对市场、行业、竞争对手、产品、客户、业务运营等方面数据的收集、分析，完成整理出分析报告、提供数据支持、分析建议；2、对公司经营管理、市场发展需求预测、市场运营决策、产品研发、销售策略、各部门业绩达标等方面提供数据支持，做出分析，编制分析模型，形成有效的结果；3、负责建立指标体系及报表体系，监控业绩达成情况；4、负责解读运营数据波动情况并提出应对策略；任职要求：1、本科及以上学历，统计学、数学、计算机、信息技术、质量经济学等专业；2、精通一种或多种数据挖掘算法（如聚类、回归、决策树等），掌握数据分析、挖掘方法，具备使用Excel、SQL、SPSS/SAS、web trends、cognos等工具处理和分析较大量级数据的能力；3、具有良好的逻辑思维和数据分析能力；"
Ways,数据分析师,3043500,5k-7k,5,7,6.0,1-3年,六险一金概述：制作各类数据分析报告，通过编程实现报告的自动化生成，提升产出效率，确保报告提供的及时性和准确性；为业务部门提供大批量数据查询和分析处理的支持。职责：1、负责报告自动化的制作和运维，通过熟练掌握报告自动化编程技术、熟练掌握数据库技术、熟悉数据结构及各种算法，按时保质交付； 2、负责与上级主管接口，熟悉所负责项目的执行计划；3、负责撰写项目执行书，包括项目执行流程、数据来源、报告制作步骤、算法说明、自动化程序的技术文档等；管理和维护所负责的各类文档和代码；4、负责为公司其他部门提供大批量数据查询和分析处理的支持5、负责为公司其他部门提供数据处理环节中所需的技术支持；6、严格遵守数据的保密规定；要求：1、本科及以上学历，计算机、统计、应用数学、信息管理与信息系统等相关专业，计算机专业优先；2、熟练掌握VBA、C#、C++、VB等一门及以上编程语言，非常熟悉Office操作及Excel公式函数，精通VBA或C#编程优先；3、熟练使用SQL操作数据库，熟悉MS SQL SERVER、ORACLE、MYSQL一种及以上数据库产品；4、熟悉SPSS、SAS、R、MATLAB等一门及以上统计软件；5、要求灵活性强，学习和理解能力强，对数据敏感，思路清晰；6、有1年及以上管理咨询行业数据处理经验优先。
广州棒谷科技股份有限公司,数据分析专员,3864587,5k-8k,5,8,6.5,不限,"晋升空间大,绩效奖金多,带薪年假,五险一金【岗位职责】1.负责部门内运营数据采集、统计与分析工作，并能结合运营实际，提出改善意见和方案；2.针对特定业务问题进行分析并给出报告，如销售分析、客户分析、竞争对手分析等；3.为部门内提供数据支持，包括日常运营数据反馈、业务项目实施数据比对等；4.领导安排的其他工作。 【岗位要求】1.本科以上学历，英语四级或以上，可接受应届毕业生；2.熟悉市场分析或数据分析的主要方法，熟练运用Excel等常用软件；3.对数据敏感，良好的逻辑及系统性思维能力；4.有良好的团队合作精神和沟通能力，具备良好的分析思路并善于学习和思考。 【棒谷提供】1、薪酬：综合薪资5-8K；2、专业培训：专业的培训队伍，为每位新入职员工提供系统的技能培训、职业培训、户外拓展；3、福利待遇：五险一金/绩效奖金/全勤奖/创新奖/年终奖/入职体检/企业文化活动/拓展培训/优秀团队活动经费/大型年会/达标旅游/节日礼物/下午茶；4、带薪假期：带薪年假（5-7天）、国家法定节假日、婚假、产假等；5、工作氛围：开放、轻松、年轻、扁平化管理。"
健客网,业务数据分析师/业务数据建模师/经理,4475841,15k-25k,15,25,20.0,3-5年,"大平台,晋升空间大,竞争力薪资岗位职责:1. 可通过处理海量数据，分析与挖掘潜在规律和关联，认识、建模并解决实际问题，包括数据系统建设、商品画像和内容标签的完善、日常数据分析和专题分析；2. 对电商数据进行建模，用于价格管理，潜在销量机会点挖掘，进而驱动业务；3. 配合软件工程师把模型落地，并用可行方法验证模型正确性；4. 跟踪模型应用效果，能及时发现模型应用中的问题和不足，并提出改进措施；5. 与运营团队配合，把运营知识与数据有效组织，构建数据化的后台体系。 任职要求:1. 数学、统计学、计量经济学等相关专业本科以上学历，三年以上工作经验；2. 热爱数据，对数据敏感，对数据研究和应用抱有浓厚的兴趣，有强烈的上进心和求知欲，善于学习和运用新知识；3. 精通数据分析理论方法，熟悉企业数据分析工具，电商常用模型，购物篮分析，关联分析等优先，能独自应用模型解决问题；4. 较强的沟通能力和逻辑表达能力，具备良好的团队合作精神和主动沟通意识；5. 优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；6. 面试时需提供一份数据报告分析。"
欧派,数据分析研发工程师,4477768,10k-15k,10,15,12.5,3-5年,"上市公司,晋升空间大,待遇福利好,年终奖金多职位描述： 1、参与数据仓库、数据集市等相关数据开发；2、深入理解数据业务，通过业务数据使用场景进行技术分析、规划设计、数据探查，完成数据建模，如用户行为数据、营销数据等；3、能独立完成项目的分析、设计，跟进开发项目并确保各阶段进度和质量；4、对系统存在的问题进行跟踪和定位并及时解决； 任职要求： 1、学历全日制本科（含）以上 ，专业计算机技术等相关专业；2、3年以上数据仓库、数据集市、大数据平台项目后台相关岗位开发经验，含2年以上ETL、BI、数据开发相关经验。3、熟悉数据仓库维度建模设计方法，精通Oracle数据库开发，熟练编写PL/SQL代码，熟悉海量数据处理和性能优化；4、熟悉ODI、Kettle、informatica等至少一种ETL工具；5、熟悉BIEE、tableru等报表工具的优先；6、熟悉Linux系统操作，熟悉shell编程；掌握R、Python、SAS、Java等至少一种语言；7、具有比较突出的组织、协调、推动能力和沟通交流技能。"
漫灵软件,市场助理/数据分析,3795647,4k-6k,4,6,5.0,不限,"出国旅游,年底双薪,工作餐,牛人多岗位职责：1、分析每日游戏营收数据的统计与目标的达成情况；2、针对每服导量、ltv、在线、活跃等进行统计分析，判定开服效果，为开服计划提供数据支持；3、对ARPU、单价、回款率、回本周期进行分析，判定投放盈利情况，为投放提供数据支持。任职要求：1、本科以上学历，数学或者统计学相关专业应届毕业生；2、热爱游戏，对游戏有自己独到的看法和深入的理解；3、熟练使用excel函数，熟悉数据收集，数据筛选，数据分析；4、具备良好的分析能力，并有良好的团队协作与协调能力。"
云徙科技,高级数据分析师,3096142,20k-40k,20,40,30.0,3-5年,快速发展 A轮融资 提供食宿 股权激励岗位职责：1、为产品或运营策略提供数据分析支持，为产品运营、销售策略提供数据支持 ；2、负责业务数据收集整理，对多种数据源的进行深度诊断性组合分析、挖掘、深度分析和建模，对相关数据进行深度挖掘分析 ；3、对公司业务的运营进行评估和建议，从数据的角度推动公司运营决策、产品方向和运营 ；4. 深入理解业务，发现业务特征潜在机会，给出有效的行动建议。岗位要求：1、全日制高校本科以上学历，应用数学、统计学或相关专业；2、三年（含）以上数据分析经验，有过海量数据分析经验，熟练使用SQL语言进行数据分析工作；3、具备良好的沟通能力和表达能力，有独立开展业务调研、数据分析、报告编写的经验；4、热爱互联网产品，热爱数据分析工作，善思考、逻辑思维能力强，善于用简单语言表述复杂结论；5. 对数据驱动业务有深入理解，对数据与业务方面有足够敏感性，有较强的逻辑分析能力，有较强的独立思考能力。
民贷天下,数据分析,4382781,10k-18k,10,18,14.0,3-5年,"五险一金,扁平化管理,全方位数据岗位职责：1、及时响应业务团队数据统计分析需求，并提供适当的数据解读；2、基于业务实际需求设计数据报表，并不断优化提升效率；3、日常监控主要业务指标，负责业务指标数据异常原因查询及汇报；4、结合业务特点，探索并建立分析主题，对数据进行深度分析和挖掘，输出可读性强的分析报告。任职要求：1、本科及以上学历，统计学、计量经济学或者数学专业优先；2、具有2年及以上相关工作经验，特别突出者可适当放宽；3、熟练使用SQL、R/PYTHON/JAVA/SCALA或其他编程语言；4、熟悉决策树、聚类、逻辑回归、关联分析、SVM、贝叶斯等数据挖掘算法，有成效可靠的数据挖掘项目经验；5、优秀的洞察力和解决问题能力，对挑战性问题充满激情。"
道一信息,数据分析专员,3897944,4k-7k,4,7,5.5,不限,"办公环境好,公司平台大,福利待遇好,晋升机会多工作职责：1、 公司日常业务数据的管理和维护；2、 根据每月公司的经营分析会议的需要制作数据分析报告；3、 公司各业务部门业绩报表的统计分析；4、 总经理安排的其它工作。 职位要求：1、 本科或以上学历，擅长使用Excel进行数据分析，能熟练使用Word、PPT等办公软件使用；2、 具有较强的逻辑思维能力、业务理解能力和沟通协调能力；3、 责任心强、主动性强、踏实、细心。 "
探迹,高级数据分析师,4460590,12k-24k,12,24,18.0,3-5年,"大数据AI,扁平管理,五险一金,期权激励工作职责：负责挖掘互联网企业数据来源，并对这些数据与材料加以分析和使用；负责企业数据的维度枚举及整理分类，并确保各项分析报表的准确性和及时性；通过数据分析结果，给各相关业务带来专业准确的意见和建议；负责向开发工程师提出数据爬取需求，并跟进数据爬取的开发进度。任职要求：本科及以上学历，计算机、统计相关专业，3年数据分析工作经验，有数据库经验者优先；掌握常用的数据统计分析方法及相关的软件工具；具备较强的数据敏感度，善于发现应用价值高的数据来源；熟练使用Excel，Word等常用的Office办公软件；工作细心，有耐心，具备良好的团队协作能力。"
虎牙信息,Java开发工程师搜索&amp;数据分析,4488736,15K-30K,15,30,22.5,3-5年,氛围轻松职位描述：直播行业应用系统软件开发任职要求：1.拥有扎实的计算机基础理论知识。2.精通java开发语言，熟练使用linux系统。3.熟悉mysql、redis。4.搜索相关开发经验，熟悉lucence，solr，elasticsearch等任一搜素引擎框架。5.了解搜素相关技术，如：索引，各种语言分词，query分析等，有大型分布式搜素系统开发和性能优化经验。6.具有良好的沟通能力和良好的团队合作精神。
云房数据,高级数据分析师,875998,7k-14k,7,14,10.5,3-5年,"福利好 五险一金 意外险岗位职责：1、负责大数据的行业分析和建模，挖掘算法优化和开发2、负责大数据分析和挖据领域关键技术和产品的预研工作 任职资格：1、互联网行业分析领域两年以上工作经验者优先；2、至少掌握一种数据分析工具(R/SAS/SPSS/Matlab),能够实现优化算法；3、至少熟悉一种数据库，熟练运用SQL,有丰富的数据分析、挖掘、清洗和建模经验；4、熟练使用JAVA/Scala/C++/Python/PHP基于hadoop/Spark/mahout/HBASE/HIVE 构建中等规模的数据分析系统, 有丰富的脚本处理数据经验。5、扎实的机器学习/NLP理论和技术基础，具备Unix/Linux环境工作能力；6、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情 公司福利：1、购买六险一金（养老保险，医疗保险，失业保险，生育保险，工伤保险，意外险，住房公积金）2、法定带薪假期、1年1-2次加薪机会，丰厚的年终奖；3、员工结婚、生日、生育均有一定的贺金，不定期举办集体活动，每年组织一次旅游活动；4、每年定期组织外出旅游，丰富的员工活动（例如：每周五天河体育中心包场篮球运动）5、公司实行5天7小时工作制（工作时间为上午8:30-12：00；下午14：00-17：30）。6、定期公司给予员工福利食品。"
合利宝,数据分析专员,3935479,4k-7k,4,7,5.5,1-3年,"福利待遇好,发展空间大,CBD办公,上市公司岗位职责:1、日常交易数据的收集和分析；2、负责业务数据及运营数据的统计分析工作，并监控日常数据状态；3、根据数据分析给予市场和运营政策优化方案，提供决策建议；4、异常数据的统计分析和解决方案的输出。任职资格:1、大学本科以上学历，金融类、经济学类、统计学类、数据类、计算机类等相关专业；2、1年以上数据统计分析经验，熟悉使用至少一种数理统计及分析工具；3、对数字敏感，思维敏捷，具有良好的逻辑思维能力和商业判断能力；4、工作细致严谨、有较强的责任心和团队协作精神。"
唯品会,高级数据分析师,4484552,15k-25k,15,25,20.0,3-5年,"发展空间,团队氛围,六险一金职位描述:1、对管理层和业务部门进行数据需求支持，挖掘分析主题，开展数据分析工作，基于数据分析成果，为管理层和业务部门提供商业策略分析和业务优化建议，持续改进运营效果；2、优化和完善所属方向的数据分析体系，包括KPI指标体系、报表体系、专题分析体系；3、作为项目经理，负责项目的方案制定、项目推动与运营，并且指导其他同事在指定的时间里高质量的完成项目4、提升团队的整体运营水平。职位要求：1）有较强的团队沟通协调能力，能独立完成专题分析项目；2）逻辑思维严密，有很好的分析能力和报告展示能力，有很好商业嗅觉；3）熟练使用SQL/SAS，熟悉至少一种数据库软件，如：oracle、mysql、sql server等，熟悉hadoop者优先；理工科、市场营销、经济、心理学等相关专业本科以上学历。4）5年以上数据分析工作经验，零售、互联网背景优先，有商品品类管理、商品或品牌分析或市场投放分析经验者优先。"
广州神灯,数据分析,3203698,6k-12k,6,12,9.0,1-3年,发展空间大岗位职责：1、信用卡以及消费信贷业务等基础数据建设，包含数据模型建立，维护数据质量，推动整合数据资源等，为公司量化决策管理提供支撑 ；2、推进技术团队实现数据统计平台的建设和完善，完成数据的校验，确保数据的准确性；3、快速响应并整理细化各个部门的数据需求，为产品改进和运营活动提供数据支持，提出合理化建议；4、定期输出日、周、月、季报等数据报告，跟踪产品体验和业务运营情况，对异常数据进行深入分析；5、深度挖掘用户行为特征及规律，为产品改进提供数据支撑；6、定期对用户特征、需求、行为分析、活跃度、营销活动效果等特定业务的数据挖掘模型的需求分析。岗位要求：1.  要求大学本科及以上学历，2年及以上互联网公司数据分析工作经验，有电商数据分析或者金融数据分析工作经验者优先；2.  熟练使用SPSS、SAS、R等任意一数据分析挖掘软件；3.  对主成分分析、因子分析、分类聚类、关联分析、回归分析、时间序列模型、方差分解有深入了解；4.  精通Mysql等数据库操作，精通Python或其他开发工具；掌握PHP、hive、hadoop等的优先考虑；5、熟悉电子商务或者金融网站的数据分析模型和用户数据分析模型，了解如何通过数据分析优化平台；6.  有创业精神，沟通能力良好，责任心强。公司福利1、薪资结构：工资+餐补（每个工作日20元）+全勤奖金200-300（只要您的条件优越我们一定会让您在我们平台展翅飞翔）2、福利制度：五险一金、双休、法定节假日、有薪病假、婚假、产假、带薪年假、年终奖、十三薪、结婚礼金等一系列福利。3、上班时间：五天7小时工作制 上班时间：9：30-12：30  14：00-18：00    （少加班，如果加班将按照国家规定的补助再加一倍标准。如节假日加班国家规定是3倍工资，神灯公司将按4倍执行）4、员工活动：年度旅游、每月聚餐、下午茶、生日会、等团队娱乐活动。5、工作地址：广州市天河区林和中路152号天誉花园一期高雅阁2101-2102房 （紧邻地铁1/3/APM线广州东站和公交总站，交通便利，楼下是宜家家居，附近是东方宝泰MALL。）
骑鹅旅行,数据分析工程师,4012622,10k-20k,10,20,15.0,不限,"十五天年假,技术大牛,国际化团队,扁平化管理任职要求：1. 本科及以上学历，计算机、通信工程相关专业；2. 有编程项目开发经验（C++，Java，Python或者Matlab)；3. 熟练使用常用算法和数据结构；4. 了解数据挖掘和机器学习；5. 学习能力，动手能力强，有进取心，责任心强；6. 良好的团队合作精神，较强的沟通能力。具备以下资格优先：1. 分布式相关项目（如分布式存储/分布式计算/高性能并行计算/分布式Cache）经验；2. 数据挖掘/机器学习项目经验。"
小树科技,高级数据分析师,4413901,8k-15k,8,15,11.5,3-5年,"周末双休,季度奖金,下午茶,团建活动1.本科以上学历，统计学、数学、计算机等相关专业，具有扎实的数理基础；重点学院优先，不考虑二级学院2.2年以上数据挖掘建模相关工作经验，有机器学习、数据挖掘相关的项目经验，；3.参与过完整的数据采集、整理、分析、挖掘和建模工作，能对海量数据进行分析处理；4.熟练各类预测、分类、关联和聚类算法，熟悉使用数据分析挖掘工具（如SAS/SPSS/R/python，MATLAB，至少懂一门语言（R/python/Java）；5.熟悉SQL数据库语句。岗位职责1、能够基于数据分析得到有价值的信息，为业务发展提供策略和建议；2、定期追踪业绩及其他关键业务指标情况，洞察到业务动作，提供决策基础；3、配合公司营运项目需求，及时提交分析报告；4、协助各业务部门完成数据整理、分析与利用，及时提供支持方面的工作。"
广州棒谷科技股份有限公司,高级数据分析师,4166215,8k-12k,8,12,10.0,1-3年,"绩效奖金多,晋升空间大,团队氛围好,有全勤餐补岗位要求：1、本科及以上学历，统计学、计算机等专业；2、2年以上相关数据分析工作经验，具备运营规划和体系构建的经验，具有良好的结构化思考能力，逻辑思维清晰，有一定产品经验者优先；3、 熟悉基本的用户运营策略，擅长用户行为数据分析，对用户行为数据变化敏感，能够依据数据制定出合理的可实施的改善意见和方案；4、 掌握基本的统计方法，熟练使用SQL，熟悉至少一种数据库软件（如：ORACLE、MYSQL、SQL Server、SAS等），能够熟练的利用Excel进行数据整理和编辑、统计分析和高级分析；5、实事求是，数据驱动，结果导向，不惜代价，同理心强，推动力强；6、了解电商行业，具有相关行业的数据分析工作经验者优先。【薪资福利】上班时间：平均40小时制/周薪酬架构：基本工资+全勤奖+绩效奖金+年终奖+创新奖培训：入职培训+岗位技能培训+户外拓展培训+导师制五险一金：公司为正式员工购买养老、医疗、失业、工伤、和生育保险、住房公积金工作氛围：开放、轻松、年轻、扁平化管理广阔的晋升空间：公司认真对待每一位面试者与每一位工作人员，日渐完善的职位晋升制度，注重人才能力，将给您足够的发展空间假期：除了享受国家法定假期、婚假、丧假、女员工产假及男员工陪产假等有薪假期外，满一年服务期5天带薪年假（不超过7天），及每月带薪1天病假其它：交通方便-地铁上盖（番禺会江地铁C出口即是）；办公环境好-高层商务写字楼；入职体检；新人入职礼；老员工入职周年礼；缤纷多彩的***节礼物；中秋节礼/圣诞节礼物各种嗨嗨；每日24小时免费提供下午茶（奶茶、各式花茶、咖啡）；还有日常OTC常规备用药品、贴心雨具等供你随时取用哟~"
道一信息,数据分析专员,4440512,4k-7k,4,7,5.5,1年以下,"上市公司,周末双休,五险一金,福利待遇好1、 公司日常业务数据的管理和维护；2、 根据每月公司的经营分析会议的需要制作数据分析报告；3、 公司各业务部门业绩报表的统计分析；4、 总经理安排的其它工作。 职位要求：1、 本科或以上学历，擅长使用Excel进行数据分析，能熟练使用Word、PPT等办公软件使用；2、 具有较强的逻辑思维能力、业务理解能力和沟通协调能力；3、 责任心强、主动性强、踏实、细心。"
网易游戏,数据分析师（外包编制）,3721213,10k-15k,10,15,12.5,1-3年,"大数据,薪资福利好,发展空间大,技术牛人多岗位职责：1. 为游戏设计提供有价值的数据支持，并针对游戏玩家群分析定制策略；2. 深入了解游戏行业，对游戏数据建立分析模型，获得用户行为动机、目的和原因；3. 研究游戏中各系统的设定，从数据中提出更优的改进策略；4. 参与网易多款游戏的数据分析工作，为产品提供迭代开发数据支撑；岗位要求：1. 大专或以上学历，数据挖掘、机器学习、计算机、统计、数学等相关专业；2. 一年以上互联网产品数据挖掘或分析经验，有游戏行业背景优先；3. 熟悉linux平台下的代码开发，精通一种以上面向对象编程语言及其思想，精通SQL；4. 熟悉分布式架构，有hadoop/hive使用经验；5. 熟悉Shell/Mysql/Python相关技术者优先；6. 充分的数据敏感度，能从海量数据表现中提炼核心结果，及时分析数据中隐含的变化和问题；7. 热爱网络游戏，对游戏制作有一定了解者优先；备注：此岗位为外包编制，录用后签署第三方劳务公司合同，而非网易正式劳动合同，派遣至网易工作，工作内容、时间、地点、项目等与正职相同，参与内部考核，提供转为正编的机会。"
欢聚时代（YY Inc）,数据分析（用户增长） (MJ000818),4501612,15k-25k,15,25,20.0,3-5年,"福利多,平台大1、负责YY海外用户规模增长，用户触达、下载、激活、留存的全链条转化提升； 2、搭建海外用户分层和成长体系，通过精细化运营提升用户活跃度； 3、构建产品漏斗，基于用户画像、用户行为等，持续优化漏斗； 4、基于大数据、用户研究与运营数据做综合分析，给出增长方向建议，支持业务决策； 5、通过用户调研、行业对标、特征挖掘等方式发现新用户频次增长点，推动产品落地； 6、通过用户调研和数据挖掘深度洞察用户需求，研究用户留存的驱动因素，持续推动体验优化，提升用户留存率； 7、跨部门合作（包括：渠道、产品、市场、商务），推动growth目标，设定目标，快速落地并实现项目迭代。"
栗子科技,数据分析师,3711097,5k-10k,5,10,7.5,不限,"五险一金,宽松氛围,弹性上班制,下午茶工作内容：1.负责项目数据持续监控和分析；2.定期输出数据分析报告，提出合理有效意见；3.根据运营工作发行的问题，提出有效合理的数据模型提升机器运营能力。岗位要求：1.细心负责2.良好的逻辑分析能力3.熟练使用excel等日常工具4.对业务数据保持敏感，较强的独立思考能力5.本岗位是面向海外产品，所以要求有较好的英语听说写能力福利：下午茶水果任吃+五险一金+定期体检+带薪假期+弹性上班时间+双休"
万城万充,数据分析师,4058875,6k-10k,6,10,8.0,1-3年,"双休,五险一金,员工饭堂,年终奖1、配合部门从事系统分析开发工作； 2、配合销售完成售前、售中、售后项目的分析设计工作； 3、根据部门实际情况，规划设计活动； 4、梳理运营与推广的业务需求，制定数据报表； 5、挖掘数据背后的市场方向、规律、短板，为车辆运营提供决策依据； 6、针对具体的车辆运营事件，研究业务开拓中的局限性或亮点，进行数据分析并提出优化方案或提炼可复制的模板；7、分析运营与推广需求，固化常规数据报表，提升数据支持运营与推广的能力；8、数据研究与分析，通过挖掘数据的内在关系，发现运营与推广中的问题，并推动问题  的解决；9、满足业务对数据的各类取、过滤、分析等需求。任职要求：本科及以上学历，统计学、数学等相关专业 ，3年以上数据分析经验；"
